GEOID,year,month,year-month,sale_amt,home_size,yr_blt,price_sf,Sub_geo
13063040202,2023,8,2023-8,95000.0,1018.0,1984.0,93.32023575638507,NW Clayton
13063040202,2022,4,2022-4,258500.0,1792.0,1983.0,144.25223214285714,NW Clayton
13063040202,2022,4,2022-4,157000.0,1296.0,1967.0,121.14197530864196,NW Clayton
13063040202,2022,8,2022-8,44988.0,985.0,1957.0,45.673096446700505,NW Clayton
13063040202,2022,6,2022-6,220000.0,952.0,1962.0,231.0924369747899,NW Clayton
13063040202,2023,2,2023-2,152000.0,1623.0,1967.0,181.76216882316697,NW Clayton
13063040202,2020,8,2020-8,145000.0,1708.0,1967.0,84.89461358313817,NW Clayton
13063040202,2021,6,2021-6,103000.0,1512.0,1955.0,68.12169312169313,NW Clayton
13063040202,2021,8,2021-8,212000.0,1826.0,2006.0,116.10076670317636,NW Clayton
13063040202,2020,10,2020-10,120000.0,1240.0,1987.0,156.8548387096774,NW Clayton
13063040202,2023,3,2023-3,115000.0,1370.0,1967.0,83.94160583941606,NW Clayton
13063040202,2023,5,2023-5,214000.0,1046.0,1985.0,204.5889101338432,NW Clayton
13063040202,2021,3,2021-3,185000.0,2864.0,1988.0,64.59497206703911,NW Clayton
13063040202,2020,12,2020-12,204000.0,1826.0,2006.0,111.71960569550932,NW Clayton
13063040202,2020,12,2020-12,109500.0,960.0,1962.0,114.0625,NW Clayton
13063040202,2020,9,2020-9,87500.0,900.0,1957.0,97.22222222222224,NW Clayton
13063040202,2021,12,2021-12,180000.0,1248.0,1985.0,144.23076923076923,NW Clayton
13063040202,2020,12,2020-12,63525.0,1064.0,1985.0,59.703947368421055,NW Clayton
13063040202,2022,2,2022-2,133000.0,1036.0,1967.0,128.3783783783784,NW Clayton
13063040202,2021,8,2021-8,158000.0,1164.0,1953.0,135.73883161512026,NW Clayton
13063040202,2021,8,2021-8,195900.0,1823.0,1967.0,107.46023038946792,NW Clayton
13063040202,2021,8,2021-8,200000.0,2004.0,2003.0,99.8003992015968,NW Clayton
13063040202,2023,11,2023-11,90000.0,1216.0,1957.0,76.48026315789474,NW Clayton
13063040202,2023,3,2023-3,362000.0,2253.0,1969.0,160.6746560142033,NW Clayton
13063040202,2022,11,2022-11,231000.0,1864.0,2006.0,123.92703862660944,NW Clayton
13063040203,2020,11,2020-11,140000.0,1500.0,2003.0,93.33333333333331,NW Clayton
13063040203,2021,3,2021-3,215000.0,1864.0,2021.0,115.34334763948496,NW Clayton
13063040203,2023,3,2023-3,323000.0,2100.0,1989.0,153.8095238095238,NW Clayton
13063040203,2022,7,2022-7,335000.0,2640.0,1988.0,126.8939393939394,NW Clayton
